title,agency,bureau,spend
Repatriation loans program account,Department of State                                             ,Administration of Foreign Affairs,1 
"International Center, Washington, D.C.",Department of State                                             ,Other,1 
International litigation fund,Department of State                                             ,Other,1 
"Emergency fund, Western Area Power Administration",Department of Energy                                            ,Power Marketing Administration,1 
Water and related resources,Department of the Interior                                      ,Bureau of Reclamation,1 
Utah reclamation mitigation and conservation account,Department of the Interior                                      ,Central Utah Project,1 
"Medicare-eligible Retiree Health Fund Contribution, NOAA        ",Department of Commerce                                          ,National Oceanic and Atmospheric Administration,1 
Contributed funds,Department of the Interior                                      ,United States Geological Survey,1 
Office of the Chief Economist                                   ,Department of Agriculture                                       ,Executive Operations,1 
Payments to States and possessions,Department of Agriculture                                       ,Agricultural Marketing Service,1 
Salaries and expenses,Department of Agriculture                                       ,Foreign Agricultural Service,1 
Gifts and bequests,Department of Agriculture                                       ,Office of the Secretary,1 
Gifts and bequests,Department of Commerce                                          ,Departmental Management,1 
Business loan fund liquidating account,Small Business Administration                                   ,Small Business Administration,1 
Public Company Accounting Oversight Board                       ,Public Company Accounting Oversight Board                       ,Public Company Accounting Oversight Board                       ,1 
"Miscellaneous Trust Funds, Maritime Administration              ",Department of Transportation                                    ,Maritime Administration,1 
Minority business resource center program,Department of Transportation                                    ,Office of the Secretary,1 
Healthy Food Financing Initiative                               ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,1 
Revolving fund (liquidating programs),Department of Housing and Urban Development                     ,Community Planning and Development,1 
Rural business investment program account,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,1 
Payment to the Harry S Truman Scholarship Memorial Trust Fund   ,Harry S Truman Scholarship Foundation                           ,Harry S Truman Scholarship Foundation                           ,1 
Harry S Truman Memorial Scholarship Trust Fund                  ,Harry S Truman Scholarship Foundation                           ,Harry S Truman Scholarship Foundation                           ,1 
"Science, space, and technology education trust fund",National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,1 
"Gifts and Donations, National Endowment for the Arts            ",National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,1 
"Gifts and Donations, National Endowment for the Humanities      ",National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,1 
Tax Court judges survivors annuity fund,Legislative Branch                                              ,United States Tax Court,1 
"Special supplemental nutrition program for women, infants, and c",Department of Agriculture                                       ,Food and Nutrition Service,1 
Special benefits for certain World War II veterans,Social Security Administration                                  ,Social Security Administration,1 
United States Government life insurance fund,Department of Veterans Affairs                                  ,Benefits Programs,1 
Native american veteran housing loan program account,Department of Veterans Affairs                                  ,Benefits Programs,1 
Contributions,Other Defense Civil Programs                                    ,American Battle Monuments Commission,1 
Court of Appeals for Veterans Claims Retirement Fund            ,United States Court of Appeals for Veterans Claims              ,United States Court of Appeals for Veterans Claims              ,1 
Salaries and expenses,Judicial Branch                                                 ,United States Court of International Trade,1 
Independent counsel,Department of Justice                                           ,Legal Activities and U.S. Marshals,1 
Office of Senate Legal Counsel,Legislative Branch                                              ,Senate,1 
Office of Congressional Accessibility Services                  ,Legislative Branch                                              ,Joint Items,1 
Expenses on US Senate Caucus on International Narcotics Control,Legislative Branch                                              ,Senate,1 
John C. Stennis Center for Public Service Training and Developme,Legislative Branch                                              ,Legislative Branch Boards and Commissions,1 
U.S. Capitol Preservation Commission,Legislative Branch                                              ,Legislative Branch Boards and Commissions,1 
Unanticipated Needs                                             ,Executive Office of the President                               ,Unanticipated Needs,1 
White House repair and restoration,Executive Office of the President                               ,Executive Residence at the White House,1 
Disposal of surplus real and related personal property,General Services Administration                                 ,Real Property Activities,1 
National archives gift fund,National Archives and Records Administration                    ,National Archives and Records Administration                    ,1 
Other commissions and boards,Other Commissions and Boards                                    ,Other Commissions and Boards                                    ,1 
Intrabudgetary Transactions,Legislative Branch                                              ,Legislative Branch,1 
Miscellaneous special funds,Department of Defense--Military Programs                        ,Operation and Maintenance,2 
"Gifts and Donations, African Development Foundation             ",International Assistance Programs                               ,African Development Foundation,2 
Housing and other credit guaranty programs liquidating account,International Assistance Programs                               ,Agency for International Development,2 
"Salaries and expenses, Foreign Claims Settlement Commission",Department of Justice                                           ,Legal Activities and U.S. Marshals,2 
Office of Inspector General,Nuclear Regulatory Commission                                   ,Nuclear Regulatory Commission                                   ,2 
Range betterment fund,Department of Agriculture                                       ,Forest Service,2 
Community Development Revolving Loan Fund                       ,National Credit Union Administration                            ,National Credit Union Administration                            ,2 
National Association of Registered Agents and Brokers,New Agency                                                      ,New Bureau                                                      ,2 
Rural Microenterprise Investment Program Account                ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,2 
James Madison Memorial Fellowship Trust Fund                    ,James Madison Memorial Fellowship Foundation                    ,James Madison Memorial Fellowship Foundation                    ,2 
Federal Payment to Morris K. Udall and Stewart L. Udall Foundati,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,2 
Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,2 
National Capital Arts and Cultural Affairs                      ,Commission of Fine Arts                                         ,Commission of Fine Arts                                         ,2 
Salaries and expenses,Department of Health and Human Services                         ,Food and Drug Administration,2 
Special workers' compensation,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,2 
Dual Benefits Payments Account                                  ,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,2 
Foreign Service national separation liability trust fund,International Assistance Programs                               ,Agency for International Development,2 
Native Hawaiian Housing Block Grant,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,2 
Special benefits for certain World War II veterans,Social Security Administration                                  ,Social Security Administration,2 
Native american veteran housing loan program account,Department of Veterans Affairs                                  ,Benefits Programs,2 
Registry Administration,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",2 
John C. Stennis Center for Public Service Training and Developme,Legislative Branch                                              ,Legislative Branch Boards and Commissions,2 
Payment of Government Losses in Shipment                        ,Department of the Treasury                                      ,Fiscal Service                                                  ,2 
Check Forgery Insurance Fund                                    ,Department of the Treasury                                      ,Fiscal Service                                                  ,2 
Federal Interest Liabilities to States                          ,Department of the Treasury                                      ,Fiscal Service                                                  ,2 
Department of Defense family housing improvement fund           ,Department of Defense--Military Programs                        ,Family Housing,3 
Urban and environmental credit program account,International Assistance Programs                               ,Agency for International Development,3 
Miscellaneous trust funds,Department of State                                             ,Administration of Foreign Affairs,3 
Japan-United States Friendship Trust Fund                       ,Japan-United States Friendship Commission                       ,Japan-United States Friendship Commission                       ,3 
Biomass Research and Development                                ,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,3 
Reclamation trust funds,Department of the Interior                                      ,Bureau of Reclamation,3 
Management of national forest lands for subsistence uses,Department of Agriculture                                       ,Forest Service,3 
Salaries and Expenses                                           ,Marine Mammal Commission                                        ,Marine Mammal Commission                                        ,3 
Wildlife conservation,Other Defense Civil Programs                                    ,"Forest and Wildlife Conservation, Military Reservations",3 
Hazardous Waste Electronic Manifest System Fund                 ,Environmental Protection Agency                                 ,Environmental Protection Agency,3 
Environmental Dispute Resolution Fund                           ,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,3 
Environmental Dispute Resolution Fund                           ,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,3 
Registry Fees                                                   ,Federal Financial Institutions Examination Council              ,Federal Financial Institutions Examination Council Appraisal Sub,3 
National Surface Transportation and Innovative Finance Bureau   ,Department of Transportation                                    ,Office of the Secretary,3 
Maritime guaranteed loan (title XI) program account,Department of Transportation                                    ,Maritime Administration,3 
Salaries and Expenses                                           ,Commission of Fine Arts                                         ,Commission of Fine Arts                                         ,3 
Rural economic development loans program account,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,3 
White Earth settlement fund,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,3 
Barry Goldwater Scholarship and Excellence in Education Foundati,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,3 
Working capital fund,Department of Labor                                             ,Departmental Management,3 
Salaries and Expenses                                           ,National Council on Disability                                  ,National Council on Disability                                  ,3 
Special benefits,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,3 
"Research and Development, OUSM                                  ",Department of Homeland Security                                 ,Office of the Under Secretary for Management                    ,3 
"Research and Development, USSS                                  ",Department of Homeland Security                                 ,United States Secret Service,3 
Salaries and Expenses                                           ,Administrative Conference of the United States                  ,Administrative Conference of the United States                  ,3 
Salaries and expenses,Judicial Branch                                                 ,Supreme Court of the United States,3 
Salaries and expenses,Judicial Branch                                                 ,United States Court of Appeals for the Federal Circuit,3 
"Federal Prison Industries, Incorporated",Department of Justice                                           ,Federal Prison System,3 
Council on Environmental Quality and Office of Environmental Qua,Executive Office of the President                               ,Council on Environmental Quality and Office of Environmental Qua,3 
Department-wide systems and capital investments programs,Department of the Treasury                                      ,Departmental Offices,3 
Payments to States under Federal Power Act,Department of Energy                                            ,Energy Programs,3 
Compact of free association,Department of the Interior                                      ,Insular Affairs,3 
Proprietary Receipts,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,3 
"Surcharge collections, sales of commissary stores, Defense",Department of Defense--Military Programs                        ,Trust Funds,4 
Office of the National Science Board,National Science Foundation                                     ,National Science Foundation,4 
Salaries and Expenses                                           ,Nuclear Waste Technical Review Board                            ,Nuclear Waste Technical Review Board                            ,4 
Advanced Technology Vehicles Manufacturing Loan Program Account ,Department of Energy                                            ,Energy Programs,4 
Water bank program,Department of Agriculture                                       ,Natural Resources Conservation Service,4 
Neotropical migratory bird conservation                         ,Department of the Interior                                      ,United States Fish and Wildlife Service,4 
Contributed funds,Department of the Interior                                      ,United States Fish and Wildlife Service,4 
Miscellaneous permanent appropriations,Department of the Interior                                      ,United States Fish and Wildlife Service,4 
Hazardous Materials Management                                  ,Department of Agriculture                                       ,Hazardous Materials Management                                  ,4 
State mediation grants,Department of Agriculture                                       ,Farm Service Agency,4 
HCHB renovation and modernization                               ,Department of Commerce                                          ,Departmental Management,4 
Financial Management Capital                                    ,Department of Transportation                                    ,Office of the Secretary,4 
Denali Commission Trust Fund                                    ,Denali Commission                                               ,Denali Commission                                               ,4 
United States Court of Federal Claims Judges' retirement fund,Judicial Branch                                                 ,Judicial Retirement Funds,4 
Native American housing block grant,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,4 
Joint Economic Committee,Legislative Branch                                              ,Joint Items,4 
Office of the Attending Physician,Legislative Branch                                              ,Joint Items,4 
Salaries and expenses,Legislative Branch                                              ,Office of Compliance,4 
United States-China Economic and Security Review Commission     ,Legislative Branch                                              ,Legislative Branch Boards and Commissions,4 
United States Commission on International Religious Freedom     ,Legislative Branch                                              ,Legislative Branch Boards and Commissions,4 
Salaries and expenses,Executive Office of the President                               ,Council of Economic Advisers,4 
Allowances and office staff for former Presidents,General Services Administration                                 ,General Activities,4 
Operating Expenses                                              ,United States Interagency Council on Homelessness               ,United States Interagency Council on Homelessness               ,4 
Office of the Assistant Secretary of the Army for Civil Works,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,5 
"Recreation enhancement fee program, FWS                         ",Department of the Interior                                      ,United States Fish and Wildlife Service,5 
Commodity Credit Corporation fund,Department of Agriculture                                       ,Farm Service Agency,5 
Payments to copyright owners,Legislative Branch                                              ,Library of Congress,5 
Restoration and enhancement grants,Department of Transportation                                    ,Federal Railroad Administration,5 
Technical Assistance and Training                               ,Department of Transportation                                    ,Federal Transit Administration,5 
Intelligence and Vetting                                        ,Department of Homeland Security                                 ,Transportation Security Administration                          ,5 
